Marca de Tiempo, Uso de Memoria (%)
08:59:44,69.0
08:59:45,69.0
08:59:46,69.0
08:59:47,69.2
08:59:48,69.3
08:59:49,69.5
08:59:50,69.7
08:59:51,69.8
08:59:52,69.5
08:59:53,69.5
08:59:54,69.5
08:59:55,69.5
08:59:56,69.5
08:59:57,69.7
08:59:58,69.7
08:59:59,69.7
09:00:01,69.8
09:00:02,69.8
09:00:03,69.8
09:00:04,69.8
09:00:05,69.8
09:00:06,69.8
09:00:07,69.8
09:00:08,69.8
09:00:09,69.8
09:00:10,69.8
09:00:11,69.8
09:00:12,69.7
09:00:13,69.8
09:00:14,69.8
09:00:15,69.7
09:00:16,69.7
09:00:17,69.7
09:00:18,69.7
09:00:19,69.7
09:00:20,69.7
09:00:21,69.7
09:00:22,69.7
09:00:23,69.7
09:00:24,69.7
09:00:25,69.7
09:00:26,69.8
09:00:27,69.8
09:00:28,70.1
09:00:29,70.4
09:00:30,70.5
09:00:31,70.6
09:00:32,70.0
09:00:33,70.6
09:00:34,70.1
09:00:35,70.1
09:00:36,69.9
09:00:37,70.0
09:00:38,69.8
09:00:39,70.0
09:00:40,69.9
09:00:41,69.9
09:00:42,70.1
09:00:43,69.8
09:00:44,69.9
09:00:45,70.0
09:00:46,70.2
09:00:47,70.2
09:00:48,70.4
09:00:49,70.7
09:00:50,70.7
09:00:51,70.6
09:00:52,70.7
09:00:53,70.7
09:00:54,70.7
09:00:55,70.7
09:00:56,70.5
09:00:57,70.6
09:00:58,70.6
09:00:59,70.6
09:01:00,70.6
09:01:01,70.6
09:01:02,70.5
09:01:03,70.5
09:01:04,70.5
09:01:05,70.5
09:01:06,70.5
09:01:07,70.5
09:01:08,69.5
09:01:09,69.5
09:01:10,69.3
09:01:11,69.6
09:01:12,69.6
09:01:13,69.1
09:01:14,68.8
09:01:15,68.9
09:01:16,68.9
09:01:17,68.9
09:01:18,69.1
09:01:19,69.1
09:01:20,69.3
09:01:21,69.5
09:01:22,69.6
09:01:23,69.7
09:01:24,69.9
09:01:25,69.9
09:01:26,70.0
09:01:27,70.1
09:01:29,70.1
09:01:30,69.1
09:01:31,69.1
09:01:32,69.3
09:01:33,69.4
09:01:34,69.4
09:01:35,69.2
09:01:36,69.1
09:01:37,69.0
09:01:38,69.0
09:01:39,69.0
09:01:40,68.9
09:01:41,69.0
09:01:42,68.9
09:01:43,68.9
09:01:44,68.9
09:01:45,69.4
09:01:46,69.7
09:01:47,69.0
09:01:48,68.9
09:01:49,69.1
09:01:50,69.2
09:01:51,69.1
09:01:52,69.5
09:01:53,69.6
09:01:54,69.7
09:01:55,69.8
09:01:56,69.9
09:01:57,69.9
09:01:58,69.9
09:01:59,70.0
09:02:00,69.9
09:02:01,69.7
09:02:02,69.7
09:02:03,69.7
09:02:04,69.6
09:02:05,69.6
09:02:06,68.6
09:02:07,68.6
09:02:08,68.5
09:02:09,68.6
09:02:10,68.9
09:02:11,69.0
09:02:12,68.5
09:02:13,68.8
09:02:14,69.1
09:02:15,69.3
09:02:16,69.5
09:02:17,69.5
09:02:18,69.4
09:02:19,69.5
09:02:20,69.6
09:02:21,69.6
09:02:22,69.6
09:02:23,68.9
09:02:24,68.8
09:02:25,68.4
09:02:26,68.3
09:02:27,67.5
09:02:28,67.7
09:02:29,67.8
09:02:30,67.9
09:02:31,68.0
09:02:32,68.0
09:02:33,67.2
09:02:34,67.2
09:02:35,67.3
09:02:36,67.3
09:02:37,67.3
09:02:38,67.3
09:02:39,67.2
09:02:40,67.4
09:02:41,67.3
09:02:42,67.3
09:02:43,67.8
09:02:44,68.2
09:02:45,67.7
09:02:46,68.3
09:02:47,68.4
09:02:48,68.6
09:02:49,68.7
09:02:50,68.7
09:02:51,68.9
09:02:52,68.7
09:02:53,68.4
09:02:54,68.5
09:02:55,68.5
09:02:56,68.5
09:02:57,68.5
09:02:58,68.5
09:02:59,68.4
09:03:01,68.4
09:03:02,68.4
09:03:03,68.4
09:03:04,68.4
09:03:05,68.4
09:03:06,68.4
09:03:07,68.4
09:03:08,68.3
09:03:09,68.3
09:03:10,68.3
09:03:11,68.3
09:03:12,68.4
09:03:13,68.4
09:03:14,68.3
09:03:15,68.5
09:03:16,68.5
09:03:17,68.7
09:03:18,68.7
09:03:19,68.6
09:03:20,68.6
09:03:21,68.5
09:03:22,68.5
09:03:23,68.6
09:03:24,68.6
09:03:25,68.2
09:03:26,68.2
09:03:27,68.3
09:03:28,68.1
09:03:29,68.2
09:03:30,67.7
09:03:31,67.8
09:03:32,68.0
09:03:33,67.9
09:03:34,68.0
09:03:35,67.7
09:03:36,67.8
09:03:37,67.4
09:03:38,67.4
09:03:39,67.4
09:03:40,67.4
09:03:41,67.4
09:03:42,67.4
09:03:43,67.4
09:03:44,67.4
09:03:45,67.4
09:03:46,67.4
09:03:47,67.4
09:03:48,67.3
09:03:49,67.5
09:03:50,67.5
09:03:51,67.5
09:03:52,67.4
09:03:53,67.3
09:03:54,67.3
09:03:55,67.3
09:03:56,67.3
09:03:57,67.3
09:03:58,67.3
09:03:59,67.5
09:04:00,67.6
09:04:01,68.0
09:04:02,68.3
09:04:03,68.4
09:04:04,68.4
09:04:05,68.5
09:04:06,69.1
09:04:07,68.6
09:04:08,68.4
09:04:09,68.4
09:04:10,68.3
09:04:11,68.3
09:04:12,68.3
09:04:13,68.3
09:04:14,68.6
09:04:15,68.5
09:04:16,68.6
09:04:17,68.5
09:04:18,68.6
09:04:19,68.6
09:04:20,68.5
09:04:21,68.4
09:04:22,68.4
09:04:23,68.5
09:04:24,68.6
09:04:25,68.5
09:04:27,68.5
09:04:28,68.4
09:04:29,68.5
09:04:30,68.5
09:04:31,68.3
09:04:32,68.4
09:04:33,68.4
09:04:34,68.4
09:04:35,68.4
09:04:36,67.8
09:04:37,67.8
09:04:38,67.7
09:04:39,67.8
09:04:40,67.8
09:04:41,67.7
09:04:42,67.8
09:04:43,67.9
09:04:44,67.9
